#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1800	200	31135695	31135695.000	18254	18254.000
600	200	31135695	31135695.000	376388	376388.000
1950	800	31135695	31135695.000	15874	15874.000
1850	1400	31135695	31135695.000	20252	20252.000
1150	450	31135695	31135695.000	94915	94915.000
2250	300	31135695	31135695.000	14343	14343.000
2250	1100	31135695	31135695.000	18481	18481.000
1300	700	31135695	31135695.000	40958	40958.000
1250	300	31135695	31135695.000	52574	52574.000
600	375	31135695	31135695.000	366733	366733.000
1600	100	31135695	31135695.000	21336	21336.000
1050	400	31135695	31135695.000	148573	148573.000
2000	700	31135695	31135695.000	18534	18534.000
1200	850	31135695	31135695.000	70739	70739.000
2100	400	31135695	31135695.000	17176	17176.000
2050	1600	31135695	31135695.000	20174	20174.000
2100	1300	31135695	31135695.000	17810	17810.000
2200	1450	31135695	31135695.000	19567	19567.000
1950	1450	31135695	31135695.000	20453	20453.000
1150	400	31135695	31135695.000	101304	101304.000
1450	800	31135695	31135695.000	18735	18735.000
2000	1100	31135695	31135695.000	21772	21772.000
1300	750	31135695	31135695.000	40013	40013.000
1350	1125	31135695	31135695.000	29799	29799.000
1850	850	31135695	31135695.000	20163	20163.000
1800	1300	31135695	31135695.000	19117	19117.000
1100	800	31135695	31135695.000	130991	130991.000
1900	1050	31135695	31135695.000	21516	21516.000
1850	700	31135695	31135695.000	18634	18634.000
1300	800	31135695	31135695.000	34928	34928.000
2100	1350	31135695	31135695.000	20260	20260.000
900	675	31135695	31135695.000	148529	148529.000
1650	1150	31135695	31135695.000	19588	19588.000
1950	1400	31135695	31135695.000	21414	21414.000
1500	600	31135695	31135695.000	19575	19575.000
1600	950	31135695	31135695.000	23091	23091.000
2300	1100	31135695	31135695.000	19994	19994.000
1500	1200	31135695	31135695.000	17357	17357.000
1700	850	31135695	31135695.000	24266	24266.000
950	350	31135695	31135695.000	151079	151079.000
2000	200	31135695	31135695.000	19410	19410.000
2100	1150	31135695	31135695.000	21474	21474.000
1650	1350	31135695	31135695.000	22831	22831.000
1100	875	31135695	31135695.000	135574	135574.000
900	600	31135695	31135695.000	150686	150686.000
1300	850	31135695	31135695.000	35743	35743.000
1050	550	31135695	31135695.000	143240	143240.000
1350	600	31135695	31135695.000	26915	26915.000
2000	1350	31135695	31135695.000	20967	20967.000
700	100	31135695	31135695.000	149517	149517.000
1550	900	31135695	31135695.000	21458	21458.000
1150	350	31135695	31135695.000	91157	91157.000
2100	1600	31135695	31135695.000	20105	20105.000
1500	1250	31135695	31135695.000	20511	20511.000
1400	650	31135695	31135695.000	20649	20649.000
1100	450	31135695	31135695.000	138907	138907.000
2300	300	31135695	31135695.000	19446	19446.000
2150	1500	31135695	31135695.000	22495	22495.000
1800	800	31135695	31135695.000	20317	20317.000
1550	1000	31135695	31135695.000	20099	20099.000
1150	650	31135695	31135695.000	95969	95969.000
1450	1050	31135695	31135695.000	21375	21375.000
1950	100	31135695	31135695.000	16463	16463.000
800	200	31135695	31135695.000	145479	145479.000
1550	200	31135695	31135695.000	20339	20339.000
1300	300	31135695	31135695.000	40889	40889.000
1700	900	31135695	31135695.000	19010	19010.000
1900	1350	31135695	31135695.000	19006	19006.000
1200	700	31135695	31135695.000	67831	67831.000
1350	950	31135695	31135695.000	29508	29508.000
2050	1200	31135695	31135695.000	19360	19360.000
2100	900	31135695	31135695.000	20090	20090.000
1600	1050	31135695	31135695.000	22993	22993.000
1200	900	31135695	31135695.000	67567	67567.000
2200	700	31135695	31135695.000	17422	17422.000
1300	350	31135695	31135695.000	36405	36405.000
1600	300	31135695	31135695.000	22276	22276.000
1550	800	31135695	31135695.000	19902	19902.000
1600	900	31135695	31135695.000	19605	19605.000
2050	1400	31135695	31135695.000	20442	20442.000
2100	1200	31135695	31135695.000	21672	21672.000
1650	500	31135695	31135695.000	19913	19913.000
900	500	31135695	31135695.000	150926	150926.000
1600	600	31135695	31135695.000	23515	23515.000
2150	200	31135695	31135695.000	20336	20336.000
1650	1400	31135695	31135695.000	21092	21092.000
1900	1200	31135695	31135695.000	20944	20944.000
1950	700	31135695	31135695.000	27554	27554.000
1350	450	31135695	31135695.000	26282	26282.000
1800	1400	31135695	31135695.000	19648	19648.000
1700	600	31135695	31135695.000	19080	19080.000
1900	1250	31135695	31135695.000	24665	24665.000
1300	600	31135695	31135695.000	40311	40311.000
1250	200	31135695	31135695.000	49844	49844.000
1650	1425	31135695	31135695.000	16085	16085.000
2200	100	31135695	31135695.000	21425	21425.000
2250	1550	31135695	31135695.000	18342	18342.000
1150	500	31135695	31135695.000	102469	102469.000
1350	400	31135695	31135695.000	31669	31669.000
1450	500	31135695	31135695.000	20450	20450.000
1000	600	31135695	31135695.000	151374	151374.000
1050	500	31135695	31135695.000	154351	154351.000
2300	1450	31135695	31135695.000	23397	23397.000
2250	1400	31135695	31135695.000	22131	22131.000
1750	750	31135695	31135695.000	19174	19174.000
2050	800	31135695	31135695.000	25772	25772.000
2050	1250	31135695	31135695.000	20432	20432.000
2150	1600	31135695	31135695.000	25636	25636.000
1850	600	31135695	31135695.000	15230	15230.000
1600	800	31135695	31135695.000	21073	21073.000
1250	700	31135695	31135695.000	52549	52549.000
1850	1050	31135695	31135695.000	21588	21588.000
1900	1150	31135695	31135695.000	18749	18749.000
2300	800	31135695	31135695.000	19508	19508.000
1550	500	31135695	31135695.000	21103	21103.000
750	450	31135695	31135695.000	144599	144599.000
2200	1300	31135695	31135695.000	22755	22755.000
2000	1050	31135695	31135695.000	19716	19716.000
1500	850	31135695	31135695.000	18651	18651.000
2150	1200	31135695	31135695.000	20560	20560.000
1500	1150	31135695	31135695.000	19808	19808.000
2150	900	31135695	31135695.000	19008	19008.000
1450	550	31135695	31135695.000	15939	15939.000
1350	0	31135695	31135695.000	24711	24711.000
1450	850	31135695	31135695.000	18961	18961.000
1550	0	31135695	31135695.000	21696	21696.000
2000	0	31135695	31135695.000	21897	21897.000
1300	100	31135695	31135695.000	34904	34904.000
950	725	31135695	31135695.000	149437	149437.000
1850	1300	31135695	31135695.000	20906	20906.000
1000	400	31135695	31135695.000	162851	162851.000
1900	1550	31135695	31135695.000	25405	25405.000
2250	400	31135695	31135695.000	20188	20188.000
1600	650	31135695	31135695.000	17694	17694.000
2150	1450	31135695	31135695.000	18400	18400.000
2150	500	31135695	31135695.000	22506	22506.000
2200	1550	31135695	31135695.000	17480	17480.000
2250	1300	31135695	31135695.000	22065	22065.000
1700	1400	31135695	31135695.000	20211	20211.000
2100	200	31135695	31135695.000	16918	16918.000
850	300	31135695	31135695.000	147701	147701.000
900	200	31135695	31135695.000	149157	149157.000
2100	0	31135695	31135695.000	20243	20243.000
1850	100	31135695	31135695.000	22298	22298.000
1250	450	31135695	31135695.000	50872	50872.000
900	550	31135695	31135695.000	160765	160765.000
950	650	31135695	31135695.000	150720	150720.000
2150	1000	31135695	31135695.000	17318	17318.000
1750	1300	31135695	31135695.000	20330	20330.000
1550	400	31135695	31135695.000	22037	22037.000
700	400	31135695	31135695.000	156282	156282.000
1050	700	31135695	31135695.000	155634	155634.000
1950	600	31135695	31135695.000	18498	18498.000
1400	600	31135695	31135695.000	20667	20667.000
1900	1450	31135695	31135695.000	18611	18611.000
1000	100	31135695	31135695.000	154586	154586.000
2000	300	31135695	31135695.000	21714	21714.000
1350	750	31135695	31135695.000	28576	28576.000
