#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1000	675	1835275	1835275.000	141405	141405.000
1000	600	1835275	1835275.000	141313	141313.000
1000	450	1835275	1835275.000	95251	95251.000
1000	300	1835275	1835275.000	94278	94278.000
1000	150	1835275	1835275.000	94966	94966.000
1000	0	1835275	1835275.000	92782	92782.000
1000	650	1835275	1835275.000	140627	140627.000
1000	500	1835275	1835275.000	94659	94659.000
1000	350	1835275	1835275.000	95399	95399.000
1000	200	1835275	1835275.000	93913	93913.000
1000	50	1835275	1835275.000	91236	91236.000
1000	700	1835275	1835275.000	142407	142407.000
1000	625	1835275	1835275.000	141083	141083.000
1000	550	1835275	1835275.000	94885	94885.000
1000	400	1835275	1835275.000	93673	93673.000
1000	250	1835275	1835275.000	93699	93699.000
1000	100	1835275	1835275.000	93699	93699.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1000	750	1858051	1858051.000	142709	142709.000
1025	600	1858051	1858051.000	140654	140654.000
1025	675	1858051	1858051.000	140774	140774.000
1025	700	1858051	1858051.000	142966	142966.000
1025	725	1858051	1858051.000	131623	131623.000
1025	750	1858051	1858051.000	131314	131314.000
1000	725	1858051	1858051.000	142907	142907.000
1025	625	1858051	1858051.000	138059	138059.000
1050	0	1858051	1858051.000	95476	95476.000
1050	100	1858051	1858051.000	93004	93004.000
1000	775	1858051	1858051.000	143213	143213.000
1025	775	1858051	1858051.000	140307	140307.000
1025	650	1858051	1858051.000	134208	134208.000
1025	800	1858051	1858051.000	140837	140837.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1050	600	1886863	1886863.000	96025	96025.000
1050	725	1886863	1886863.000	138185	138185.000
1050	750	1886863	1886863.000	143622	143622.000
1050	500	1886863	1886863.000	95704	95704.000
1050	250	1886863	1886863.000	95925	95925.000
1050	150	1886863	1886863.000	95658	95658.000
1050	675	1886863	1886863.000	137889	137889.000
1050	700	1886863	1886863.000	138522	138522.000
1050	450	1886863	1886863.000	95266	95266.000
1050	200	1886863	1886863.000	95699	95699.000
1050	350	1886863	1886863.000	90915	90915.000
1050	650	1886863	1886863.000	138107	138107.000
1050	775	1886863	1886863.000	142804	142804.000
1050	400	1886863	1886863.000	95930	95930.000
1050	550	1886863	1886863.000	95573	95573.000
1050	300	1886863	1886863.000	95663	95663.000
1050	50	1886863	1886863.000	95376	95376.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1075	850	1583664	1583664.000	144154	144154.000
1075	700	1583664	1583664.000	144221	144221.000
1050	800	1583664	1583664.000	143338	143338.000
1075	750	1583664	1583664.000	143637	143637.000
1075	825	1583664	1583664.000	143905	143905.000
1075	675	1583664	1583664.000	143917	143917.000
1075	775	1583664	1583664.000	144378	144378.000
1075	800	1583664	1583664.000	144242	144242.000
1075	650	1583664	1583664.000	143920	143920.000
1050	825	1583664	1583664.000	143674	143674.000
1075	725	1583664	1583664.000	144278	144278.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1100	725	1914606	1914606.000	144524	144524.000
1100	450	1914606	1914606.000	92720	92720.000
1100	500	1914606	1914606.000	96466	96466.000
1100	750	1914606	1914606.000	144712	144712.000
1100	0	1914606	1914606.000	96069	96069.000
1100	250	1914606	1914606.000	96560	96560.000
1100	775	1914606	1914606.000	144493	144493.000
1100	300	1914606	1914606.000	96354	96354.000
1100	550	1914606	1914606.000	95864	95864.000
1100	600	1914606	1914606.000	93189	93189.000
1100	50	1914606	1914606.000	96167	96167.000
1100	100	1914606	1914606.000	96367	96367.000
1100	350	1914606	1914606.000	96324	96324.000
1100	400	1914606	1914606.000	94452	94452.000
1100	650	1914606	1914606.000	96385	96385.000
1100	700	1914606	1914606.000	145150	145150.000
1100	150	1914606	1914606.000	92917	92917.000
1100	200	1914606	1914606.000	95893	95893.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1125	825	1880024	1880024.000	144802	144802.000
1125	900	1880024	1880024.000	145349	145349.000
1125	800	1880024	1880024.000	144980	144980.000
1100	800	1880024	1880024.000	144308	144308.000
1125	850	1880024	1880024.000	145030	145030.000
1125	775	1880024	1880024.000	144737	144737.000
1100	825	1880024	1880024.000	144899	144899.000
1125	750	1880024	1880024.000	142347	142347.000
1100	850	1880024	1880024.000	144450	144450.000
1125	875	1880024	1880024.000	144963	144963.000
1125	725	1880024	1880024.000	144776	144776.000
1100	875	1880024	1880024.000	144172	144172.000
1125	700	1880024	1880024.000	145211	145211.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1150	300	1893818	1893818.000	97151	97151.000
1150	250	1893818	1893818.000	97494	97494.000
1150	0	1893818	1893818.000	97077	97077.000
1150	750	1893818	1893818.000	145546	145546.000
1150	500	1893818	1893818.000	97189	97189.000
1150	450	1893818	1893818.000	97031	97031.000
1150	200	1893818	1893818.000	97079	97079.000
1150	800	1893818	1893818.000	145792	145792.000
1150	150	1893818	1893818.000	97398	97398.000
1150	700	1893818	1893818.000	97053	97053.000
1150	650	1893818	1893818.000	96616	96616.000
1150	400	1893818	1893818.000	97244	97244.000
1150	350	1893818	1893818.000	97377	97377.000
1150	100	1893818	1893818.000	96632	96632.000
1150	50	1893818	1893818.000	97285	97285.000
1150	775	1893818	1893818.000	145849	145849.000
1150	600	1893818	1893818.000	97055	97055.000
1150	550	1893818	1893818.000	96950	96950.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1175	900	1850594	1850594.000	146523	146523.000
1175	875	1850594	1850594.000	146238	146238.000
1175	925	1850594	1850594.000	146603	146603.000
1150	925	1850594	1850594.000	145613	145613.000
1150	875	1850594	1850594.000	145602	145602.000
1175	750	1850594	1850594.000	102091	102091.000
1175	800	1850594	1850594.000	140632	140632.000
1150	900	1850594	1850594.000	146104	146104.000
1150	825	1850594	1850594.000	145666	145666.000
1150	850	1850594	1850594.000	145907	145907.000
1175	775	1850594	1850594.000	146344	146344.000
1175	850	1850594	1850594.000	146786	146786.000
1175	825	1850594	1850594.000	146485	146485.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1175	950	146387	146387.000	146387	146387.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1200	550	1863260	1863260.000	98198	98198.000
1200	400	1863260	1863260.000	97804	97804.000
1200	650	1863260	1863260.000	98163	98163.000
1200	100	1863260	1863260.000	98021	98021.000
1200	350	1863260	1863260.000	98082	98082.000
1200	200	1863260	1863260.000	98320	98320.000
1200	450	1863260	1863260.000	98157	98157.000
1200	700	1863260	1863260.000	98042	98042.000
1200	150	1863260	1863260.000	98212	98212.000
1200	0	1863260	1863260.000	97913	97913.000
1200	250	1863260	1863260.000	98418	98418.000
1200	500	1863260	1863260.000	97825	97825.000
1200	825	1863260	1863260.000	147075	147075.000
1200	750	1863260	1863260.000	97646	97646.000
1200	600	1863260	1863260.000	98104	98104.000
1200	800	1863260	1863260.000	146894	146894.000
1200	50	1863260	1863260.000	98365	98365.000
1200	300	1863260	1863260.000	98021	98021.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1200	875	1905118	1905118.000	147108	147108.000
1225	900	1905118	1905118.000	147337	147337.000
1225	925	1905118	1905118.000	145106	145106.000
1200	900	1905118	1905118.000	147271	147271.000
1225	1000	1905118	1905118.000	148060	148060.000
1200	925	1905118	1905118.000	146531	146531.000
1225	800	1905118	1905118.000	148045	148045.000
1225	825	1905118	1905118.000	147870	147870.000
1200	950	1905118	1905118.000	137603	137603.000
1225	875	1905118	1905118.000	147795	147795.000
1200	975	1905118	1905118.000	147394	147394.000
1225	850	1905118	1905118.000	147592	147592.000
1200	850	1905118	1905118.000	147406	147406.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1250	400	1981615	1981615.000	99399	99399.000
1250	350	1981615	1981615.000	99385	99385.000
1250	550	1981615	1981615.000	99575	99575.000
1250	50	1981615	1981615.000	98913	98913.000
1250	200	1981615	1981615.000	98898	98898.000
1225	975	1981615	1981615.000	147799	147799.000
1225	950	1981615	1981615.000	148578	148578.000
1250	500	1981615	1981615.000	99172	99172.000
1250	1025	1981615	1981615.000	148559	148559.000
1250	650	1981615	1981615.000	98783	98783.000
1250	0	1981615	1981615.000	99066	99066.000
