#mGo	mLSP	Total	Counts	genWeight
1000	750	1858050	142709	142709.000
1025	600	1858050	140654	140654.000
1025	675	1858050	140774	140774.000
1025	700	1858050	142966	142966.000
1025	725	1858050	131623	131623.000
1025	750	1858050	131314	131314.000
1000	725	1858050	142907	142907.000
1025	625	1858050	138059	138059.000
1050	0	1858050	95476	95476.000
1050	100	1858050	93004	93004.000
1000	775	1858050	143212	143212.000
1025	775	1858050	140307	140307.000
1025	650	1858050	134208	134208.000
1025	800	1858050	140837	140837.000
#mGo	mLSP	Total	Counts	genWeight
1100	725	1914604	144524	144524.000
1100	450	1914604	92720	92720.000
1100	500	1914604	96466	96466.000
1100	750	1914604	144712	144712.000
1100	0	1914604	96068	96068.000
1100	250	1914604	96559	96559.000
1100	775	1914604	144493	144493.000
1100	300	1914604	96354	96354.000
1100	550	1914604	95864	95864.000
1100	600	1914604	93189	93189.000
1100	50	1914604	96167	96167.000
1100	100	1914604	96367	96367.000
1100	350	1914604	96324	96324.000
1100	400	1914604	94452	94452.000
1100	650	1914604	96385	96385.000
1100	700	1914604	145150	145150.000
1100	150	1914604	92917	92917.000
1100	200	1914604	95893	95893.000
#mGo	mLSP	Total	Counts	genWeight
1125	825	1880023	144802	144802.000
1125	900	1880023	145349	145349.000
1125	800	1880023	144980	144980.000
1100	800	1880023	144308	144308.000
1125	850	1880023	145030	145030.000
1125	775	1880023	144737	144737.000
1100	825	1880023	144899	144899.000
1125	750	1880023	142347	142347.000
1100	850	1880023	144449	144449.000
1125	875	1880023	144963	144963.000
1125	725	1880023	144776	144776.000
1100	875	1880023	144172	144172.000
1125	700	1880023	145211	145211.000
#mGo	mLSP	Total	Counts	genWeight
1150	300	1893816	97151	97151.000
1150	250	1893816	97494	97494.000
1150	0	1893816	97077	97077.000
1150	750	1893816	145546	145546.000
1150	500	1893816	97189	97189.000
1150	450	1893816	97031	97031.000
1150	200	1893816	97078	97078.000
1150	800	1893816	145792	145792.000
1150	150	1893816	97398	97398.000
1150	700	1893816	97053	97053.000
1150	650	1893816	96616	96616.000
1150	400	1893816	97244	97244.000
1150	350	1893816	97377	97377.000
1150	100	1893816	96632	96632.000
1150	50	1893816	97285	97285.000
1150	775	1893816	145849	145849.000
1150	600	1893816	97054	97054.000
1150	550	1893816	96950	96950.000
#mGo	mLSP	Total	Counts	genWeight
1175	900	1850593	146523	146523.000
1175	875	1850593	146238	146238.000
1175	925	1850593	146603	146603.000
1150	925	1850593	145613	145613.000
1150	875	1850593	145602	145602.000
1175	750	1850593	102091	102091.000
1175	800	1850593	140632	140632.000
1150	900	1850593	146104	146104.000
1150	825	1850593	145666	145666.000
1150	850	1850593	145907	145907.000
1175	775	1850593	146344	146344.000
1175	850	1850593	146785	146785.000
1175	825	1850593	146485	146485.000
#mGo	mLSP	Total	Counts	genWeight
1175	950	146386	146386	146386.000
#mGo	mLSP	Total	Counts	genWeight
1200	550	1863259	98198	98198.000
1200	400	1863259	97804	97804.000
1200	650	1863259	98162	98162.000
1200	100	1863259	98021	98021.000
1200	350	1863259	98082	98082.000
1200	200	1863259	98320	98320.000
1200	450	1863259	98157	98157.000
1200	700	1863259	98042	98042.000
1200	150	1863259	98212	98212.000
1200	0	1863259	97913	97913.000
1200	250	1863259	98418	98418.000
1200	500	1863259	97825	97825.000
1200	825	1863259	147075	147075.000
1200	750	1863259	97646	97646.000
1200	600	1863259	98104	98104.000
1200	800	1863259	146894	146894.000
1200	50	1863259	98365	98365.000
1200	300	1863259	98021	98021.000
#mGo	mLSP	Total	Counts	genWeight
1200	875	1905117	147108	147108.000
1225	900	1905117	147337	147337.000
1225	925	1905117	145106	145106.000
1200	900	1905117	147271	147271.000
1225	1000	1905117	148060	148060.000
1200	925	1905117	146530	146530.000
1225	800	1905117	148045	148045.000
1225	825	1905117	147870	147870.000
1200	950	1905117	137603	137603.000
1225	875	1905117	147795	147795.000
1200	975	1905117	147394	147394.000
1225	850	1905117	147592	147592.000
1200	850	1905117	147406	147406.000
#mGo	mLSP	Total	Counts	genWeight
1250	925	1902944	148396	148396.000
1275	1000	1902944	149092	149092.000
1250	700	1902944	99165	99165.000
1250	850	1902944	145207	145207.000
1275	850	1902944	149509	149509.000
1250	875	1902944	136104	136104.000
1275	1050	1902944	149299	149299.000
1250	800	1902944	86426	86426.000
1250	950	1902944	147416	147416.000
1275	875	1902944	149774	149774.000
1250	975	1902944	149022	149022.000
1275	1025	1902944	150002	150002.000
1250	750	1902944	98786	98786.000
1250	900	1902944	144746	144746.000
#mGo	mLSP	Total	Counts	genWeight
1275	975	599432	149921	149921.000
1275	900	599432	149852	149852.000
1275	950	599432	149306	149306.000
1275	925	599432	150353	150353.000
#mGo	mLSP	Total	Counts	genWeight
1300	250	1965567	91310	91310.000
1300	300	1965567	98326	98326.000
1300	150	1965567	99717	99717.000
1300	600	1965567	99809	99809.000
1300	450	1965567	98399	98399.000
1300	500	1965567	100362	100362.000
1300	1025	1965567	148973	148973.000
1300	350	1965567	97604	97604.000
1300	0	1965567	98944	98944.000
1300	650	1965567	100225	100225.000
1300	550	1965567	100364	100364.000
1300	1075	1965567	150759	150759.000
1300	200	1965567	96696	96696.000
1300	1000	1965567	146605	146605.000
1300	50	1965567	94897	94897.000
1300	1050	1965567	148780	148780.000
1300	100	1965567	98710	98710.000
1300	400	1965567	95087	95087.000
#mGo	mLSP	Total	Counts	genWeight
1325	1025	1909778	151086	151086.000
1325	1100	1909778	151197	151197.000
1300	950	1909778	150532	150532.000
1325	900	1909778	150591	150591.000
1325	1050	1909778	150817	150817.000
1300	800	1909778	100627	100627.000
1300	925	1909778	149997	149997.000
1300	700	1909778	100620	100620.000
1325	1000	1909778	151314	151314.000
1325	1075	1909778	151540	151540.000
1300	850	1909778	99792	99792.000
1300	975	1909778	150501	150501.000
1300	900	1909778	150467	150467.000
1300	750	1909778	100697	100697.000
#mGo	mLSP	Total	Counts	genWeight
1325	950	1907544	135590	135590.000
1350	100	1907544	93839	93839.000
1350	1075	1907544	151041	151041.000
1350	1050	1907544	151913	151913.000
1350	200	1907544	101263	101263.000
1350	1100	1907544	139020	139020.000
1350	1025	1907544	151225	151225.000
1325	975	1907544	150780	150780.000
1350	0	1907544	99417	99417.000
1325	925	1907544	146361	146361.000
1350	150	1907544	95310	95310.000
1350	300	1907544	101191	101191.000
1350	250	1907544	96772	96772.000
1350	1125	1907544	149750	149750.000
1350	1000	1907544	144072	144072.000
#mGo	mLSP	Total	Counts	genWeight
1350	900	1928450	101209	101209.000
1350	50	1928450	101115	101115.000
1375	1000	1928450	152589	152589.000
1350	550	1928450	101451	101451.000
1350	700	1928450	101998	101998.000
1350	650	1928450	101093	101093.000
1350	800	1928450	101626	101626.000
1350	350	1928450	101647	101647.000
1350	500	1928450	101248	101248.000
1350	450	1928450	101707	101707.000
1350	600	1928450	101840	101840.000
1350	850	1928450	101161	101161.000
1350	950	1928450	152354	152354.000
1375	1025	1928450	152754	152754.000
1350	975	1928450	151608	151608.000
1350	400	1928450	101686	101686.000
1350	750	1928450	101364	101364.000
#mGo	mLSP	Total	Counts	genWeight
1375	1075	1057949	152874	152874.000
1375	1125	1057949	153283	153283.000
1375	975	1057949	140649	140649.000
