CSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.970447) : (0.975195)) : (x<50 ? 0.979897:0.986213)) : (x<100 ? (x<80 ? (x<70 ? 0.978185:0.990225) : (0.983186)) : (x<120 ? 0.979226:0.975405))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.964053:1.02655) : (0.958822)) : (x<400 ? 1.09893:0.973513)) : (x<800 ? (x<670 ? 1.21138:1.12841) : (x<1000 ? 1.60243:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.05014) : (1.05499)) : (x<50 ? 0.901215:1.00895)) : (x<100 ? (x<80 ? (x<70 ? 1.15667:1.0481) : (1.10139)) : (x<120 ? 0.981197:1.12732))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.42307:1.18543) : (1.21651)) : (x<400 ? 1.3734:1.2294)) : (x<800 ? (x<670 ? 1.2638:1.74957) : (x<1000 ? 0.685315:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.23412) : (1.16376)) : (x<50 ? 1.25834:1.20646)) : (x<100 ? (x<80 ? (x<70 ? 1.42866:1.42184) : (1.39633)) : (x<120 ? 1.29069:1.61956))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.40012:1.55121) : (1.49345)) : (x<400 ? 1.88022:1.7631)) : (x<800 ? (x<670 ? 2.1345:2.61722) : (x<1000 ? 2.60349:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.961939) : (0.966879)) : (x<50 ? 0.970756:0.97576)) : (x<100 ? (x<80 ? (x<70 ? 0.966171:0.97597) : (0.970231)) : (x<120 ? 0.960534:0.953446))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.9245:0.954176) : (0.874912)) : (x<400 ? 0.988432:0.85582)) : (x<800 ? (x<670 ? 1.05238:0.828066) : (x<1000 ? 1.13714:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.994153) : (0.992059)) : (x<50 ? 0.833287:0.921157)) : (x<100 ? (x<80 ? (x<70 ? 1.04023:0.928599) : (0.997675)) : (x<120 ? 0.867456:1.01231))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.24113:1.00457) : (0.991995)) : (x<400 ? 1.10103:0.959815)) : (x<800 ? (x<670 ? 0.968853:0.984647) : (x<1000 ? 0.346061:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.18554) : (1.11178)) : (x<50 ? 1.18195:1.12266)) : (x<100 ? (x<80 ? (x<70 ? 1.31129:1.29663) : (1.30135)) : (x<120 ? 1.18865:1.51692))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.31065:1.43744) : (1.37134)) : (x<400 ? 1.7245:1.5882)) : (x<800 ? (x<670 ? 1.92896:2.2241) : (x<1000 ? 2.15713:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.978954) : (0.983511)) : (x<50 ? 0.989039:0.996666)) : (x<100 ? (x<80 ? (x<70 ? 0.990198:1.00448) : (0.99614)) : (x<120 ? 0.997919:0.997364))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.00361:1.09892) : (1.04273)) : (x<400 ? 1.20942:1.09121)) : (x<800 ? (x<670 ? 1.37039:1.42876) : (x<1000 ? 2.06772:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.10612) : (1.11793)) : (x<50 ? 0.969143:1.09674)) : (x<100 ? (x<80 ? (x<70 ? 1.27311:1.16761) : (1.2051)) : (x<120 ? 1.09494:1.24233))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.60502:1.36629) : (1.44103)) : (x<400 ? 1.64576:1.49899)) : (x<800 ? (x<670 ? 1.55875:2.5145) : (x<1000 ? 1.02457:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.2827) : (1.21574)) : (x<50 ? 1.33473:1.29026)) : (x<100 ? (x<80 ? (x<70 ? 1.54603:1.54704) : (1.49131)) : (x<120 ? 1.39274:1.7222))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.48959:1.66498) : (1.61555)) : (x<400 ? 2.03593:1.93801)) : (x<800 ? (x<670 ? 2.34004:3.01035) : (x<1000 ? 3.04985:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.937417) : (0.944369)) : (x<50 ? 0.960696:0.962609)) : (x<100 ? (x<80 ? (x<70 ? 0.963234:0.971943) : (0.96612)) : (x<120 ? 0.957764:0.947082))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.90182:0.972407) : (0.891563)) : (x<400 ? 0.989782:1.0207)) : (x<800 ? (x<670 ? 1.00201:0.788245) : (x<1000 ? 1.06597:0)))" 
1, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03392) : (1.07351)) : (x<50 ? 0.794038:1.13319)) : (x<100 ? (x<80 ? (x<70 ? 0.790082:0.943294) : (0.86311)) : (x<120 ? 1.07487:0.859271))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.21928:1.08781) : (0.835821)) : (x<400 ? 0.988848:1.37576)) : (x<800 ? (x<670 ? 0.91913:0) : (x<1000 ? 0:0)))" 
