bin                |  SBin | btagHF     |   btagLF     |   Wxsec     |   Wpol     |   TTVxsec     |   topPt     |   PU     |   JEC     |   DLSlope     |   DLConst  
LT1_HT0_NB1_NJ68 | LT1_HT0_NB1_NJ45f6  |    1.005     |    1.008     |    1.028     |    1.000     |    1.001     |    1.017     |    1.010     |    1.002     |    1.078     |    1.001   
LT1_HT0_NB2_NJ68 | LT1_HT0_NB2i_NJ45f6  |    1.002     |    1.001     |    1.009     |    1.001     |    1.004     |    1.007     |    1.002     |    1.009     |    1.078     |    1.002   
LT1_HT0_NB3i_NJ68 | LT1_HT0_NB2i_NJ45f6  |    1.014     |    1.020     |    1.006     |    1.003     |    1.001     |    1.013     |    1.013     |    1.021     |    1.082     |    1.004   
LT1_HT1i_NB1_NJ68 | LT1_HT1i_NB1_NJ45f6  |    1.003     |    1.005     |    1.018     |    1.002     |    1.004     |    1.022     |    1.014     |    1.009     |    1.058     |    1.012   
LT1_HT1i_NB2_NJ68 | LT1_HT1i_NB2i_NJ45f6  |    1.001     |    1.006     |    1.003     |    1.002     |    1.005     |    1.003     |    1.010     |    1.017     |    1.068     |    1.004   
LT1_HT1i_NB3i_NJ68 | LT1_HT1i_NB2i_NJ45f6  |    1.003     |    1.019     |    1.007     |    1.002     |    1.011     |    1.006     |    1.027     |    1.022     |    1.069     |    1.009   
LT2_HT0_NB1_NJ68 | LT2_HT0_NB1_NJ45f6  |    1.001     |    1.046     |    1.025     |    1.005     |    1.000     |    1.007     |    1.004     |    1.028     |    1.080     |    1.001   
LT2_HT0_NB2_NJ68 | LT2_HT0_NB2i_NJ45f6  |    1.001     |    1.033     |    1.025     |    1.015     |    1.004     |    1.007     |    1.003     |    1.025     |    1.080     |    1.006   
LT2_HT0_NB3i_NJ68 | LT2_HT0_NB2i_NJ45f6  |    1.018     |    1.061     |    1.003     |    1.007     |    1.003     |    1.014     |    1.069     |    1.034     |    1.094     |    1.012   
LT2_HT1i_NB1_NJ68 | LT2_HT1i_NB1_NJ45f6  |    1.010     |    1.025     |    1.028     |    1.003     |    1.005     |    1.016     |    1.014     |    1.008     |    1.071     |    1.007   
