bin                |  SBin | btagHF     |   btagLF     |   Wxsec     |   Wpol     |   TTVxsec     |   topPt     |   PU     |   JEC     |   DLSlope     |   DLConst  
LT1_HT0_NB1_NJ68 | LT1_HT0_NB1_NJ45f6  |    1.002     |    1.002     |    1.024     |    1.000     |    1.001     |    1.014     |    1.004     |    1.012     |    1.077     |    1.004   
LT1_HT0_NB2_NJ68 | LT1_HT0_NB2i_NJ45f6  |    1.001     |    1.000     |    1.007     |    1.000     |    1.004     |    1.003     |    1.012     |    1.055     |    1.080     |    1.004   
LT1_HT0_NB3i_NJ68 | LT1_HT0_NB2i_NJ45f6  |    1.004     |    1.008     |    1.008     |    1.011     |    1.001     |    1.009     |    1.007     |    1.003     |    1.082     |    1.004   
LT1_HT1i_NB1_NJ68 | LT1_HT1i_NB1_NJ45f6  |    1.001     |    1.002     |    1.012     |    1.003     |    1.004     |    1.019     |    1.029     |    1.041     |    1.056     |    1.003   
LT1_HT1i_NB2_NJ68 | LT1_HT1i_NB2i_NJ45f6  |    1.001     |    1.002     |    1.002     |    1.002     |    1.005     |    1.000     |    1.024     |    1.005     |    1.070     |    1.003   
LT1_HT1i_NB3i_NJ68 | LT1_HT1i_NB2i_NJ45f6  |    1.005     |    1.003     |    1.009     |    1.001     |    1.011     |    1.005     |    1.014     |    1.018     |    1.066     |    1.001   
LT2_HT0_NB1_NJ68 | LT2_HT0_NB1_NJ45f6  |    1.004     |    1.001     |    1.028     |    1.007     |    1.000     |    1.012     |    1.009     |    1.014     |    1.079     |    1.001   
LT2_HT0_NB2_NJ68 | LT2_HT0_NB2i_NJ45f6  |    1.003     |    1.001     |    1.001     |    1.010     |    1.004     |    1.013     |    1.009     |    1.029     |    1.086     |    1.003   
LT2_HT0_NB3i_NJ68 | LT2_HT0_NB2i_NJ45f6  |    1.000     |    1.001     |    1.001     |    1.007     |    1.003     |    1.028     |    1.038     |    1.129     |    1.104     |    1.008   
LT2_HT1i_NB1_NJ68 | LT2_HT1i_NB1_NJ45f6  |    1.004     |    1.001     |    1.023     |    1.001     |    1.005     |    1.049     |    1.016     |    1.077     |    1.063     |    1.002   
LT2_HT1i_NB2_NJ68 | LT2_HT1i_NB2i_NJ45f6  |    1.002     |    1.004     |    1.009     |    1.000     |    1.006     |    1.002     |    1.006     |    1.021     |    1.077     |    1.001   
LT2_HT1i_NB3i_NJ68 | LT2_HT1i_NB2i_NJ45f6  |    1.012     |    1.019     |    1.009     |    1.002     |    1.018     |    1.019     |    1.050     |    1.032     |    1.073     |    1.002   
LT3_HT01_NB1_NJ68 | LT3_HT01_NB1_NJ45f6  |    1.002     |    1.004     |    1.040     |    1.003     |    1.015     |    1.010     |    1.017     |    1.059     |    1.086     |    1.005   
LT3_HT01_NB2i_NJ68 | LT3_HT01_NB2i_NJ45f6  |    1.002     |    1.000     |    1.013     |    1.002     |    1.001     |    1.015     |    1.004     |    1.059     |    1.098     |    1.000   
LT3_HT2i_NB1_NJ68 | LT3_HT2i_NB1i_NJ45f6  |    1.006     |    1.005     |    1.030     |    1.002     |    1.004     |    1.001     |    1.004     |    1.020     |    1.064     |    1.006   
LT3_HT2i_NB2i_NJ68 | LT3_HT2i_NB1i_NJ45f6  |    1.001     |    1.014     |    1.013     |    1.001     |    1.023     |    1.004     |    1.025     |    1.029     |    1.090     |    1.019   
LT4i_HT01_NB1_NJ68 | LT4i_HT01_NB1_NJ45f6  |    1.005     |    1.011     |    1.025     |    1.026     |    1.017     |    1.005     |    1.061     |    1.086     |    1.061     |    1.014   
LT4i_HT01_NB2i_NJ68 | LT4i_HT01_NB2i_NJ45f6  |    1.009     |    1.012     |    1.026     |    1.006     |    1.025     |    1.002     |    1.019     |    1.035     |    1.078     |    1.011   
LT4i_HT2i_NB1_NJ68 | LT4i_HT2i_NB1i_NJ45f6  |    1.027     |    1.004     |    1.039     |    1.033     |    1.003     |    1.147     |    1.007     |    1.031     |    1.065     |    1.024   
LT4i_HT2i_NB2i_NJ68 | LT4i_HT2i_NB1i_NJ45f6  |    1.010     |    1.006     |    1.061     |    1.005     |    1.026     |    1.137     |    1.026     |    1.088     |    1.034     |    1.001   
bin                |  SBin | btagHF     |   btagLF     |   Wxsec     |   Wpol     |   TTVxsec     |   topPt     |   PU     |   JEC     |   DLSlope     |   DLConst  
LT1_HT01_NB1_NJ9i | LT1_HT01_NB1_NJ45f9  |    1.007     |    1.006     |    1.026     |    1.001     |    1.010     |    1.016     |    1.023     |    1.094     |    1.144     |    1.011   
LT1_HT01_NB2_NJ9i | LT1_HT01_NB2i_NJ45f9  |    1.003     |    1.005     |    1.009     |    1.002     |    1.001     |    1.029     |    1.018     |    1.086     |    1.144     |    1.014   
LT1_HT0i_NB3i_NJ9i | LT1_HT0i_NB2i_NJ45f9  |    1.005     |    1.001     |    1.007     |    1.017     |    1.015     |    1.020     |    1.012     |    1.056     |    1.160     |    1.010   
LT1_HT2i_NB1_NJ9i | LT1_HT2i_NB1i_NJ45f9  |    1.008     |    1.006     |    1.038     |    1.015     |    1.006     |    1.064     |    1.047     |    1.052     |    1.102     |    1.009   
LT1_HT2i_NB2_NJ9i | LT1_HT2i_NB1i_NJ45f9  |    1.008     |    1.001     |    1.030     |    1.002     |    1.045     |    1.046     |    1.071     |    1.024     |    1.102     |    1.009   
LT2_HT0i_NB1_NJ9i | LT2_HT0i_NB1_NJ45f9  |    1.007     |    1.004     |    1.045     |    1.002     |    1.006     |    1.091     |    1.005     |    1.183     |    1.155     |    1.004   
LT2_HT0i_NB2_NJ9i | LT2_HT0i_NB2i_NJ45f9  |    1.003     |    1.002     |    1.018     |    1.007     |    1.027     |    1.062     |    1.022     |    1.153     |    1.191     |    1.002   
LT2_HT0i_NB3i_NJ9i | LT2_HT0i_NB2i_NJ45f9  |    1.001     |    1.001     |    1.007     |    1.003     |    1.028     |    1.035     |    1.053     |    1.095     |    1.180     |    1.007   
LT3i_HT0i_NB1_NJ9i | LT3i_HT0i_NB1_NJ45f9  |    1.008     |    1.007     |    1.093     |    1.009     |    1.019     |    1.056     |    1.066     |    1.063     |    1.201     |    1.009   
LT3i_HT0i_NB2i_NJ9i | LT3i_HT0i_NB2i_NJ45f9  |    1.003     |    1.007     |    1.025     |    1.005     |    1.049     |    1.036     |    1.004     |    1.094     |    1.234     |    1.006   
