DeepCSV;OperatingPoint,measurement,sysType,jetFlavour,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,-2.5,2.5,30,120,0,1,"0.90419"
0,lt,up,0,-2.5,2.5,30,120,0,1,"0.98312"
0,lt,down,0,-2.5,2.5,30,120,0,1,"0.82527"
0,lt,central,1,-2.5,2.5,30,120,0,1,"0.90419"
0,lt,up,1,-2.5,2.5,30,120,0,1,"1.06206"
0,lt,down,1,-2.5,2.5,30,120,0,1,"0.74636"
0,lt,central,0,-2.5,2.5,120,180,0,1,"0.95258"
0,lt,up,0,-2.5,2.5,120,180,0,1,"1.00607"
0,lt,down,0,-2.5,2.5,120,180,0,1,"0.88771"
0,lt,central,1,-2.5,2.5,120,180,0,1,"0.95258"
0,lt,up,1,-2.5,2.5,120,180,0,1,"1.05957"
0,lt,down,1,-2.5,2.5,120,180,0,1,"0.82285"
0,lt,central,0,-2.5,2.5,180,240,0,1,"0.9673"
0,lt,up,0,-2.5,2.5,180,240,0,1,"1.00834"
0,lt,down,0,-2.5,2.5,180,240,0,1,"0.92587"
0,lt,central,1,-2.5,2.5,180,240,0,1,"0.9673"
0,lt,up,1,-2.5,2.5,180,240,0,1,"1.04937"
0,lt,down,1,-2.5,2.5,180,240,0,1,"0.88443"
0,lt,central,0,-2.5,2.5,240,450,0,1,"0.97097"
0,lt,up,0,-2.5,2.5,240,450,0,1,"1.01605"
0,lt,down,0,-2.5,2.5,240,450,0,1,"0.91614"
0,lt,central,1,-2.5,2.5,240,450,0,1,"0.97097"
0,lt,up,1,-2.5,2.5,240,450,0,1,"1.06113"
0,lt,down,1,-2.5,2.5,240,450,0,1,"0.86131"
1,lt,central,0,-2.5,2.5,30,120,0,1,"0.88846"
1,lt,up,0,-2.5,2.5,30,120,0,1,"1.01523"
1,lt,down,0,-2.5,2.5,30,120,0,1,"0.76157"
1,lt,central,1,-2.5,2.5,30,120,0,1,"0.88846"
1,lt,up,1,-2.5,2.5,30,120,0,1,"1.14199"
1,lt,down,1,-2.5,2.5,30,120,0,1,"0.63467"
1,lt,central,0,-2.5,2.5,120,180,0,1,"0.84588"
1,lt,up,0,-2.5,2.5,120,180,0,1,"1.00446"
1,lt,down,0,-2.5,2.5,120,180,0,1,"0.68689"
1,lt,central,1,-2.5,2.5,120,180,0,1,"0.84588"
1,lt,up,1,-2.5,2.5,120,180,0,1,"1.16304"
1,lt,down,1,-2.5,2.5,120,180,0,1,"0.5279"
1,lt,central,0,-2.5,2.5,180,240,0,1,"0.96052"
1,lt,up,0,-2.5,2.5,180,240,0,1,"1.06232"
1,lt,down,0,-2.5,2.5,180,240,0,1,"0.86436"
1,lt,central,1,-2.5,2.5,180,240,0,1,"0.96052"
1,lt,up,1,-2.5,2.5,180,240,0,1,"1.16413"
1,lt,down,1,-2.5,2.5,180,240,0,1,"0.76819"
1,lt,central,0,-2.5,2.5,240,450,0,1,"0.90151"
1,lt,up,0,-2.5,2.5,240,450,0,1,"1.01668"
1,lt,down,0,-2.5,2.5,240,450,0,1,"0.78617"
1,lt,central,1,-2.5,2.5,240,450,0,1,"0.90151"
1,lt,up,1,-2.5,2.5,240,450,0,1,"1.13184"
1,lt,down,1,-2.5,2.5,240,450,0,1,"0.67083"
0, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "0.991997+0.000585324*x-2.8941e-07*x*x-6.52532e-11*x*x*x"
0, incl, down, 2, 0, 2.5, 20, 1000, 0, 1, "0.941224+0.000189618*x+9.54699e-07*x*x-1.13188e-09*x*x*x"
0, incl, up, 2, 0, 2.5, 20, 1000, 0, 1, "1.04336+0.000971095*x-1.50538e-06*x*x+9.77553e-10*x*x*x"
1, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "0.853286+0.000801883*x-1.00211e-06*x*x"
1, incl, down, 2, 0, 2.5, 20, 1000, 0, 1, "0.733728+0.000594128*x-7.86704e-07*x*x"
1, incl, up, 2, 0, 2.5, 20, 1000, 0, 1, "0.972275+0.00101193*x-1.22189e-06*x*x"
