CSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.970447) : (0.975195)) : (x<50 ? 0.979897:0.986213)) : (x<100 ? (x<80 ? (x<70 ? 0.978185:0.990225) : (0.983186)) : (x<120 ? 0.979226:0.975405))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.964053:1.02655) : (0.958822)) : (x<400 ? 1.09893:0.973513)) : (x<800 ? (x<670 ? 1.21138:1.12841) : (x<1000 ? 1.60243:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.05014) : (1.05499)) : (x<50 ? 0.901215:1.00895)) : (x<100 ? (x<80 ? (x<70 ? 1.15667:1.0481) : (1.10139)) : (x<120 ? 0.981197:1.12732))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.42307:1.18543) : (1.21651)) : (x<400 ? 1.3734:1.2294)) : (x<800 ? (x<670 ? 1.2638:1.74957) : (x<1000 ? 0.685315:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.23412) : (1.16376)) : (x<50 ? 1.25834:1.20646)) : (x<100 ? (x<80 ? (x<70 ? 1.42866:1.42184) : (1.39633)) : (x<120 ? 1.29069:1.61956))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.40012:1.55121) : (1.49345)) : (x<400 ? 1.88022:1.7631)) : (x<800 ? (x<670 ? 2.1345:2.61722) : (x<1000 ? 2.60349:0)))" 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.954391) : (0.992029)) : (x<50 ? 0.976107:0.979087)) : (x<100 ? (x<80 ? (x<70 ? 0.983438:0.971924) : (0.975121)) : (x<120 ? 0.974148:0.976397))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.982275:0.977793) : (0.980729)) : (x<400 ? 0.972505:0.982161)) : (x<800 ? (x<670 ? 0.976369:0.984233) : (x<1000 ? 0.978404:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00555) : (0.941494)) : (x<50 ? 1.01153:0.915283)) : (x<100 ? (x<80 ? (x<70 ? 1.04275:0.996725) : (0.991104)) : (x<120 ? 0.972338:1.0077))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.03032:0.958144) : (1.03655)) : (x<400 ? 1.08575:1.08367)) : (x<800 ? (x<670 ? 1.12995:1.09905) : (x<1000 ? 1.27107:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.12495) : (1.27424)) : (x<50 ? 1.14155:1.2021)) : (x<100 ? (x<80 ? (x<70 ? 1.30873:1.25354) : (1.24527)) : (x<120 ? 1.33876:1.27106))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.24076:1.38128) : (1.37956)) : (x<400 ? 1.61319:1.71712)) : (x<800 ? (x<670 ? 1.93262:1.89947) : (x<1000 ? 2.14721:0)))" 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.969766) : (0.976351)) : (x<50 ? 0.976898:0.979247)) : (x<100 ? (x<80 ? (x<70 ? 0.980829:0.980934) : (0.980571)) : (x<120 ? 0.980273:0.982581))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.98538:0.983997) : (0.981127)) : (x<400 ? 0.988177:0.990301)) : (x<800 ? (x<670 ? 0.99622:0.994801) : (x<1000 ? 0.995822:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.986684) : (0.987587)) : (x<50 ? 0.980276:0.984939)) : (x<100 ? (x<80 ? (x<70 ? 0.984028:0.987928) : (0.981969)) : (x<120 ? 0.983588:0.994272))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.00644:1.01716) : (1.01784)) : (x<400 ? 1.04923:1.07484)) : (x<800 ? (x<670 ? 1.10866:1.20769) : (x<1000 ? 0.927616:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.16668) : (1.16087)) : (x<50 ? 1.17947:1.20304)) : (x<100 ? (x<80 ? (x<70 ? 1.22751:1.23405) : (1.25076)) : (x<120 ? 1.26709:1.31992))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.36289:1.47882) : (1.53286)) : (x<400 ? 1.62995:1.84048)) : (x<800 ? (x<670 ? 2.16077:2.30737) : (x<1000 ? 2.68198:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.961939) : (0.966879)) : (x<50 ? 0.970756:0.97576)) : (x<100 ? (x<80 ? (x<70 ? 0.966171:0.97597) : (0.970231)) : (x<120 ? 0.960534:0.953446))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.9245:0.954176) : (0.874912)) : (x<400 ? 0.988432:0.85582)) : (x<800 ? (x<670 ? 1.05238:0.828066) : (x<1000 ? 1.13714:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.994153) : (0.992059)) : (x<50 ? 0.833287:0.921157)) : (x<100 ? (x<80 ? (x<70 ? 1.04023:0.928599) : (0.997675)) : (x<120 ? 0.867456:1.01231))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.24113:1.00457) : (0.991995)) : (x<400 ? 1.10103:0.959815)) : (x<800 ? (x<670 ? 0.968853:0.984647) : (x<1000 ? 0.346061:0)))" 
